Probe Time,Probe 0,Probe 1,Probe 2,Probe 3,Probe 4
0.0645,293.424,285.018,247.766,220.179,192.251
0.065,285.489,284.696,247.061,219.557,191.643
0.0655,285.353,284.211,246.532,219.099,191.171
0.066,284.039,283.862,246.183,218.789,190.818
0.0665,282.908,282.735,245.058,217.755,189.818
0.067,281.395,281.293,243.604,216.391,188.508
0.0675,279.69,279.306,241.679,214.526,186.621
0.068,280.226,279.123,241.21,214.107,186.199
0.0685,279.248,278.595,240.603,213.556,185.689
0.069,278.578,278.441,239.885,212.88,185.033
0.0695,278.919,278.916,239.294,212.295,184.455
0.07,277.884,278.042,238.449,211.462,183.667
0.0705,278.285,277.61,237.873,210.872,183.118
0.071,277.176,277.346,236.975,209.978,182.305
0.0715,277.356,277.987,236.577,209.516,181.871
0.072,275.726,278.643,236.323,209.21,181.594
0.0725,284.832,278.784,235.614,208.493,180.949
0.073,276.296,279.238,235.142,208.034,180.54
0.0735,277.664,279.019,234.482,207.358,179.932
0.074,276.312,278.219,233.915,206.786,179.401
0.0745,269.441,279.193,232.93,205.808,178.49
0.075,266.516,278.437,231.344,204.23,177.025
0.0755,270.458,276.346,230.241,203.096,175.986
0.076,266.02,275.087,229.513,202.397,175.385
0.0765,265.814,275.104,228.872,201.791,174.856
0.077,265.561,276.114,228.194,201.147,174.24
0.0775,265.876,276.125,227.564,200.521,173.639
0.078,266.477,275.188,227.002,199.942,173.087
0.0785,266.341,275.133,226.586,199.513,172.671
0.079,265.909,275.355,225.953,198.874,172.083
0.0795,264.373,272.019,225.552,198.457,171.678
0.08,264.461,273.293,225.248,198.125,171.354
0.0805,270.311,279.475,224.699,197.585,170.853
0.081,256.007,283.618,224.501,197.367,170.644
0.0815,258.801,293.389,223.818,196.719,170.043
0.082,261.003,290.735,223.235,196.172,169.509
0.0825,260.701,282.047,222.279,195.278,168.627
0.083,258.14,282.674,220.719,193.808,167.191
0.0835,256.856,290.102,219.364,192.513,165.921
0.084,257.307,300.806,218.576,191.789,165.231
0.0845,260.498,323.724,218.388,191.631,165.1
0.085,260.103,318.048,217.55,190.868,164.39
0.0855,258.229,307.007,216.863,190.266,163.803
0.086,259.213,322.185,216.258,189.733,163.298
0.0865,256.734,300.981,215.689,189.216,162.801
0.087,256.741,288.667,215.228,188.838,162.417
0.0875,253.822,287.674,214.916,188.585,162.162
0.088,252.751,270.593,214.732,188.445,162.02
0.0885,252.453,273.847,214.191,188.017,161.617
0.089,252.919,276.722,213.817,187.719,161.355
0.0895,251.469,266.346,212.976,186.971,160.67
0.09,251.866,273.271,212.423,186.485,160.215
0.0905,250.259,265.962,211.477,185.604,159.387
0.091,248.413,260.825,210.146,184.327,158.163
0.0915,248.456,254.981,209.033,183.257,157.133
0.092,247.401,250.406,207.989,182.26,156.167
0.0925,247.344,250.376,207.098,181.438,155.38
0.093,247.532,250.252,206.766,181.153,155.129
0.0935,247.758,275.851,206.215,180.649,154.656
0.094,244.774,264.571,205.664,180.127,154.196
0.0945,244.288,256.82,205.246,179.74,153.844
0.095,245.823,263.808,204.771,179.289,153.451
0.0955,255.477,349.367,204.133,178.725,152.967
0.096,254.774,344.702,203.743,178.353,152.662
0.0965,253.078,284.749,203.786,178.362,152.696
0.097,255.825,300.53,203.414,178.028,152.427
0.0975,244.845,212.109,202.943,177.479,151.953
0.098,236.545,211.922,202.498,176.966,151.527
0.0985,230.752,236.729,201.853,176.275,150.906
0.099,231.973,290.447,200.986,175.445,150.123
